Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2019-10-22,Toronto Raptors,New Orleans Pelicans,130 - 122,OT,2019-2020,08:00,130,122,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333444,0.033333333333333534,0.033333333333333444,0.033333333333333534,0.033333333333333444,0.033333333333333534
2019-10-22,Los Angeles Clippers,Los Angeles Lakers,112 - 102,,2019-2020,10:30,112,102,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332
2019-10-23,Charlotte Hornets,Chicago Bulls,126 - 125,,2019-2020,07:00,126,125,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333332,0.03333333333333308,0.0333333333333332,0.03333333333333308,0.033333333333333416,0.0333333333333332
2019-10-23,Indiana Pacers,Detroit Pistons,110 - 119,,2019-2020,07:00,110,119,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333322,0.03333333333333326,0.03333333333333322,0.03333333333333326,0.03333333333333336,0.03333333333333338
2019-10-23,Orlando Magic,Cleveland Cavaliers,94 - 85,,2019-2020,07:00,94,85,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333355,0.033333333333333,0.03333333333333355,0.033333333333333,0.03333333333333344,0.03333333333333315
2019-10-23,Brooklyn Nets,Minnesota Timberwolves,126 - 127,OT,2019-2020,07:30,126,127,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333336,0.03333333333333354,0.03333333333333336,0.03333333333333354,0.033333333333333465,0.03333333333333341
2019-10-23,Miami Heat,Memphis Grizzlies,120 - 101,,2019-2020,07:30,120,101,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333333,0.03333333333333334,0.03333333333333333,0.03333333333333334,0.033333333333333506,0.0333333333333335
2019-10-23,Philadelphia 76ers,Boston Celtics,107 - 93,,2019-2020,07:30,107,93,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333416,0.03333333333333326,0.033333333333333416,0.03333333333333326,0.03333333333333329,0.033333333333333603
2019-10-23,Dallas Mavericks,Washington Wizards,108 - 100,,2019-2020,08:30,108,100,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333304,0.033333333333333444,0.03333333333333304,0.033333333333333444,0.03333333333333324,0.0333333333333333
2019-10-23,San Antonio Spurs,New York Knicks,120 - 111,,2019-2020,08:30,120,111,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333395,0.033333333333333555,0.033333333333333395,0.033333333333333555,0.03333333333333329,0.03333333333333343
