Date,Home Team,Away Team,Result,Overtime,Season
01/11/2005 07:00,Philadelphia 76ers,Milwaukee Bucks,108 - 117,OT,2005-2006
01/11/2005 08:00,New Orleans/Oklahoma City Hornets,Sacramento Kings,93 - 67,,2005-2006
01/11/2005 08:00,San Antonio Spurs,Denver Nuggets,102 - 91,,2005-2006
01/11/2005 10:30,Phoenix Suns,Dallas Mavericks,108 - 111,2OT,2005-2006
02/11/2005 07:00,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,109 - 87,,2005-2006
02/11/2005 07:00,Orlando Magic,Indiana Pacers,78 - 90,,2005-2006
02/11/2005 07:00,Toronto Raptors,Washington Wizards,96 - 99,,2005-2006
02/11/2005 07:30,Boston Celtics,New York Knicks,114 - 100,OT,2005-2006
02/11/2005 07:30,New Jersey Nets,Milwaukee Bucks,96 - 110,,2005-2006
02/11/2005 08:00,Detroit Pistons,Philadelphia 76ers,108 - 88,,2005-2006
02/11/2005 08:00,Memphis Grizzlies,Miami Heat,78 - 97,,2005-2006
02/11/2005 08:00,Minnesota Timberwolves,Portland Trail Blazers,90 - 86,,2005-2006
02/11/2005 08:30,Chicago Bulls,Charlotte Bobcats,109 - 105,OT,2005-2006
02/11/2005 08:30,Houston Rockets,Sacramento Kings,98 - 89,,2005-2006
02/11/2005 09:00,Utah Jazz,Dallas Mavericks,93 - 82,,2005-2006
02/11/2005 10:00,Seattle SuperSonics,Los Angeles Clippers,93 - 101,,2005-2006
02/11/2005 10:30,Denver Nuggets,Los Angeles Lakers,97 - 99,OT,2005-2006
02/11/2005 10:30,Golden State Warriors,Atlanta Hawks,122 - 97,,2005-2006
03/11/2005 08:00,Miami Heat,Indiana Pacers,102 - 105,,2005-2006
03/11/2005 10:30,Los Angeles Lakers,Phoenix Suns,112 - 122,,2005-2006
04/11/2005 07:00,Orlando Magic,Memphis Grizzlies,85 - 94,,2005-2006
04/11/2005 07:00,Philadelphia 76ers,Charlotte Bobcats,93 - 110,,2005-2006
04/11/2005 07:00,Toronto Raptors,New Jersey Nets,92 - 102,,2005-2006
04/11/2005 07:30,Boston Celtics,Detroit Pistons,81 - 82,,2005-2006
04/11/2005 07:30,New York Knicks,Washington Wizards,75 - 86,,2005-2006
04/11/2005 08:00,San Antonio Spurs,Cleveland Cavaliers,102 - 76,,2005-2006
04/11/2005 09:00,Denver Nuggets,Portland Trail Blazers,107 - 68,,2005-2006
04/11/2005 10:30,Golden State Warriors,Utah Jazz,85 - 91,,2005-2006
04/11/2005 10:30,Los Angeles Clippers,Atlanta Hawks,92 - 77,,2005-2006
04/11/2005 10:30,Seattle SuperSonics,Minnesota Timberwolves,107 - 102,OT,2005-2006
05/11/2005 07:00,Washington Wizards,Orlando Magic,87 - 79,,2005-2006
05/11/2005 07:30,Charlotte Bobcats,Boston Celtics,107 - 105,OT,2005-2006
05/11/2005 07:30,Detroit Pistons,Toronto Raptors,117 - 84,,2005-2006
05/11/2005 07:30,New Jersey Nets,Chicago Bulls,100 - 99,,2005-2006
05/11/2005 08:00,Indiana Pacers,Philadelphia 76ers,109 - 111,,2005-2006
05/11/2005 08:00,Memphis Grizzlies,Cleveland Cavaliers,113 - 106,,2005-2006
05/11/2005 08:30,Dallas Mavericks,San Antonio Spurs,103 - 84,,2005-2006
05/11/2005 08:30,Houston Rockets,New Orleans/Oklahoma City Hornets,84 - 91,,2005-2006
05/11/2005 08:30,Milwaukee Bucks,Miami Heat,105 - 100,,2005-2006
05/11/2005 09:00,Utah Jazz,Phoenix Suns,88 - 97,,2005-2006
05/11/2005 10:00,Portland Trail Blazers,Atlanta Hawks,94 - 93,,2005-2006
05/11/2005 10:30,Los Angeles Clippers,Minnesota Timberwolves,100 - 99,OT,2005-2006
06/11/2005 01:00,New York Knicks,Golden State Warriors,81 - 83,,2005-2006
06/11/2005 08:00,Phoenix Suns,Sacramento Kings,117 - 118,,2005-2006
06/11/2005 09:30,Los Angeles Lakers,Denver Nuggets,112 - 92,,2005-2006
07/11/2005 07:00,Toronto Raptors,Cleveland Cavaliers,93 - 105,,2005-2006
07/11/2005 07:30,Charlotte Bobcats,Utah Jazz,91 - 95,OT,2005-2006
07/11/2005 07:30,Miami Heat,New Jersey Nets,90 - 89,,2005-2006
07/11/2005 08:00,Minnesota Timberwolves,Los Angeles Clippers,93 - 78,,2005-2006
07/11/2005 08:30,Chicago Bulls,San Antonio Spurs,95 - 104,OT,2005-2006
08/11/2005 07:00,Atlanta Hawks,Los Angeles Lakers,97 - 103,,2005-2006
08/11/2005 08:00,Memphis Grizzlies,Seattle SuperSonics,94 - 69,,2005-2006
08/11/2005 08:00,Milwaukee Bucks,Golden State Warriors,103 - 110,,2005-2006
08/11/2005 08:30,Houston Rockets,Orlando Magic,74 - 76,,2005-2006
08/11/2005 10:00,Sacramento Kings,Detroit Pistons,88 - 102,,2005-2006
09/11/2005 07:00,Cleveland Cavaliers,Seattle SuperSonics,112 - 85,,2005-2006
09/11/2005 07:00,Philadelphia 76ers,Dallas Mavericks,112 - 97,,2005-2006
09/11/2005 07:00,Washington Wizards,Los Angeles Clippers,97 - 102,,2005-2006
09/11/2005 07:30,Boston Celtics,Memphis Grizzlies,99 - 98,,2005-2006
09/11/2005 07:30,Charlotte Bobcats,San Antonio Spurs,86 - 94,,2005-2006
09/11/2005 07:30,New Jersey Nets,Utah Jazz,91 - 83,,2005-2006
09/11/2005 08:00,Indiana Pacers,Miami Heat,95 - 90,,2005-2006
09/11/2005 08:00,Minnesota Timberwolves,Los Angeles Lakers,88 - 74,,2005-2006
09/11/2005 08:00,New Orleans/Oklahoma City Hornets,Orlando Magic,83 - 88,,2005-2006
09/11/2005 08:30,Chicago Bulls,Golden State Warriors,85 - 84,,2005-2006
09/11/2005 10:00,Portland Trail Blazers,New York Knicks,95 - 83,,2005-2006
09/11/2005 10:30,Denver Nuggets,Sacramento Kings,107 - 91,,2005-2006
10/11/2005 07:00,Atlanta Hawks,Los Angeles Clippers,95 - 102,,2005-2006
10/11/2005 08:00,Miami Heat,Houston Rockets,88 - 84,,2005-2006
10/11/2005 10:30,Phoenix Suns,Detroit Pistons,104 - 111,,2005-2006
11/11/2005 07:00,Indiana Pacers,New Jersey Nets,102 - 90,,2005-2006
11/11/2005 07:00,Toronto Raptors,Utah Jazz,84 - 99,,2005-2006
11/11/2005 07:30,Boston Celtics,San Antonio Spurs,82 - 103,,2005-2006
11/11/2005 07:30,Charlotte Bobcats,Dallas Mavericks,88 - 98,,2005-2006
11/11/2005 07:30,Cleveland Cavaliers,Memphis Grizzlies,89 - 70,,2005-2006
11/11/2005 07:30,Washington Wizards,Seattle SuperSonics,137 - 96,,2005-2006
11/11/2005 08:00,Philadelphia 76ers,Los Angeles Lakers,85 - 81,,2005-2006
11/11/2005 10:00,Sacramento Kings,Denver Nuggets,101 - 85,,2005-2006
11/11/2005 10:30,Golden State Warriors,New York Knicks,86 - 84,,2005-2006
