index,Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,2018-10-16,Boston Celtics,Philadelphia 76ers,105 - 87,,2018-2019,08:00,105,87,0.6707317073170732,0.6341463414634146,0.6543282017573527,0.6259479045946618,3.2353693590175885,50.48399855831063,-47.24862919929304,4.298519323249072,56.59524114673904,-52.29672182348997,9000.64688733629,8502.02192652224,0.944601208440295,9072.963883498103,8998.073513620562,0.991745765679311,0.04051844872664372,0.03843686122024464,0.03497982456354507,0.041383341581463416,0.03283357373838449,0.033957388034994256
1,2018-10-16,Golden State Warriors,Oklahoma City Thunder,108 - 100,,2018-2019,10:30,108,100,0.7073170731707317,0.5853658536585366,0.6949642571376368,0.5822067921559558,5.788997361232184,60.36331632193725,-54.574318960705064,3.4204034981168028,54.81323343892376,-51.392829940806955,9182.83664199281,9305.481260432734,1.0133558532315685,9006.746681389752,8855.939913504826,0.9832562441001553,0.04239673277440574,0.03965824466272851,0.049176921920702256,0.042948970009648035,0.03464770874918515,0.033634654958526335
2,2018-10-17,Charlotte Hornets,Milwaukee Bucks,112 - 113,,2018-2019,07:00,112,113,0.43902439024390244,0.5365853658536586,0.43788413007876453,0.5310704890412574,0.06609954882875395,55.0705138981292,-55.00441434930045,-0.44977709962170925,53.28479325544327,-53.73457035506498,8730.810653601065,8873.21214934067,1.0163102260934809,8699.533037986013,8726.127033590594,1.003056945181823,0.02815233567933035,0.03388789713137755,0.031078139343980012,0.029363218035754163,0.03361639334042509,0.033312812210335926
3,2018-10-17,Detroit Pistons,Brooklyn Nets,103 - 100,,2018-2019,07:00,103,100,0.47560975609756095,0.34146341463414637,0.475514874429756,0.3498018274629248,-0.2590465871898624,50.40527789403036,-50.66432448122023,-3.668740657941316,53.63759192708742,-57.306332585028734,8707.814377645542,8492.257874807216,0.9752456249651236,8445.96489643376,8757.304085015505,1.0368624772183468,0.03190248295117266,0.025136115656811515,0.03173960644281724,0.02309606932799097,0.03278668810250647,0.03338049667505234
4,2018-10-17,Indiana Pacers,Memphis Grizzlies,111 - 83,,2018-2019,07:00,111,83,0.5853658536585366,0.2682926829268293,0.5772668884612596,0.2861396792214619,1.1817164015008164,52.25683166952578,-51.075115268024966,-5.812566740003413,46.10926985054208,-51.92183659054549,8823.886552999542,8640.757265252982,0.9792461874201784,8245.313093497212,8140.107508589266,0.9872405591255331,0.03656644842884057,0.02675655357559615,0.0330338900937807,0.02419654769166469,0.03311477387847109,0.03202593344008881
5,2018-10-17,Orlando Magic,Miami Heat,104 - 101,,2018-2019,07:00,104,101,0.3048780487804878,0.5365853658536586,0.30953186080709344,0.5241754205385862,-4.912791228230876,50.1717759870256,-55.08456721525648,0.15012737516666044,49.97427971281577,-49.82415233764911,8335.133865105205,8471.154848442477,1.0163189920568307,8743.93805583747,8460.752200203924,0.967613465028553,0.02459545469419477,0.03435527246626167,0.025038480079409398,0.02932366638400437,0.032740519916081845,0.03269773695795443
6,2018-10-17,New York Knicks,Atlanta Hawks,126 - 107,,2018-2019,07:30,126,107,0.35365853658536583,0.2926829268292683,0.3606072534738372,0.30411028978714577,-3.5274108064725778,51.281939228607605,-54.809350035080186,-5.296152939188906,50.30055483078254,-55.596707769971445,8448.65104105862,8563.04727312899,1.0135401771850239,8310.809218765706,8484.92804196192,1.0209508868045072,0.027076805088217578,0.02492223336768361,0.02816007734152951,0.022184660979033665,0.03295668391126614,0.03277091052334148
7,2018-10-17,Toronto Raptors,Cleveland Cavaliers,116 - 104,,2018-2019,07:30,116,104,0.7195121951219512,0.6097560975609756,0.7006126523871049,0.5942120453542473,7.295596789430589,58.361528351522615,-51.065931562092025,0.5911170616554784,57.70778445882556,-57.116667397170076,9346.303805040046,9137.99711949771,0.9777123994803159,8779.452207612281,9090.089738567247,1.0353823363473207,0.041891701384461785,0.03669172083080031,0.0481157425953698,0.03473983478769631,0.03423353667618731,0.034112292867848934
8,2018-10-17,Houston Rockets,New Orleans Pelicans,112 - 131,,2018-2019,08:00,112,131,0.7926829268292683,0.5853658536585366,0.7750875954674279,0.5856893783449246,8.209445223904293,59.168160592576825,-50.958715368672536,1.4825790531460248,58.97207689729711,-57.48949784415108,9427.355643955461,9213.043142844595,0.9772669548911865,8852.306261267564,9198.983321903992,1.0391623437333253,0.04579857696574483,0.03732173683040015,0.05082530793487002,0.034029627891936726,0.03440913288633745,0.034366429486224516
9,2018-10-17,San Antonio Spurs,Minnesota Timberwolves,112 - 108,,2018-2019,08:30,112,108,0.573170731707317,0.573170731707317,0.5712542731266775,0.5737238044407911,2.889928377888836,49.35593984807317,-46.466011470184334,2.3472424787984294,56.371857101508795,-54.02461462271037,8987.246428621336,8408.689131318717,0.9356246318716587,8921.530877844423,8980.031732798958,1.0065572664328064,0.03587881103598734,0.0364996941220109,0.0366167957592608,0.035952507443099586,0.032605512171935525,0.03391352564969426
