Columns,Feature Count,Mean,SD,Time
[2],0,0.6359228362877997,0.010713112235908366,4.511770009994507
"[2, 25]",1,0.6624087591240876,0.008627952982935318,24.012117862701416
"[2, 25, 26]",2,0.6681438998957246,0.00913897192020756,41.98412752151489
"[1, 2, 25, 26]",3,0.6703336809176225,0.008377953122528923,43.44200539588928
"[1, 2, 25, 26, 34, 37]",5,0.670490093847758,0.00858293932906899,105.1567211151123
"[1, 2, 10, 11, 12, 15, 23, 25, 26, 34, 37, 43]",11,0.6705422314911367,0.00843099709574198,325.50120282173157
"[1, 2, 10, 11, 12, 14, 15, 17, 21, 23, 25, 26, 34, 35, 37, 42, 43]",16,0.6705943691345151,0.008367401437876823,582.2772817611694
"[1, 2, 10, 11, 12, 14, 15, 17, 21, 23, 25, 26, 27, 34, 35, 37, 42, 43]",17,0.6707507820646507,0.008124945397898962,602.1007573604584
"[0, 1, 2, 8, 9, 10, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 34, 35, 36, 37, 39, 40, 42, 43]",28,0.6715328467153284,0.009093498552918848,1351.2508013248444
"[0, 1, 2, 8, 9, 10, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 34, 35, 36, 37, 39, 40, 42, 43]",29,0.671584984358707,0.008830984091558353,1387.8417875766754
"[0, 1, 2, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 42, 43]",34,0.6716371220020855,0.008835138654231597,1638.7026526927948
