Date,Home Team,Away Team,Result,Scaled Point Differential,Prediction Probabilities,Surprise
28/01/2020 08:30,Dallas Mavericks,Phoenix Suns,104 - 133,0.1333333333333333,0.7732647975228638,0.6399314641895305
04/01/2020 03:30,Los Angeles Clippers,Memphis Grizzlies,114 - 140,0.16666666666666663,0.7846444484840399,0.6179777818173733
26/10/2019 07:00,Detroit Pistons,Philadelphia 76ers,111 - 117,0.3888888888888889,1.0,0.6111111111111112
24/02/2020 09:00,Utah Jazz,Phoenix Suns,111 - 131,0.2333333333333333,0.8170145783778531,0.5836812450445198
04/03/2020 07:30,Brooklyn Nets,Memphis Grizzlies,79 - 118,0.0222222222222222,0.5982105858805041,0.5759883636582819
30/01/2020 10:30,Los Angeles Clippers,Sacramento Kings,103 - 124,0.2222222222222222,0.7813156429142275,0.5590934206920053
07/02/2020 09:00,Phoenix Suns,Houston Rockets,127 - 91,0.8555555555555556,0.29733601582013586,0.5582195397354197
11/01/2020 09:00,Denver Nuggets,Cleveland Cavaliers,103 - 111,0.36666666666666664,0.8884193650081924,0.5217526983415257
08/03/2020 07:00,Houston Rockets,Orlando Magic,106 - 126,0.2333333333333333,0.7374455322085295,0.5041121988751962
24/10/2019 10:30,Golden State Warriors,Los Angeles Clippers,122 - 141,0.24444444444444444,0.7410444337621471,0.49659998931770266
