Date,Home Team,Away Team,Result,Scaled Point Differential,Prediction Probabilities,Surprise
28/01/2020 08:30,Dallas Mavericks,Phoenix Suns,104 - 133,0.1333333333333333,0.8256091571616405,0.6922758238283072
04/01/2020 03:30,Los Angeles Clippers,Memphis Grizzlies,114 - 140,0.16666666666666663,0.8375642710201457,0.6708976043534791
24/02/2020 09:00,Utah Jazz,Phoenix Suns,111 - 131,0.2333333333333333,0.8324315833609468,0.5990982500276135
30/01/2020 10:30,Los Angeles Clippers,Sacramento Kings,103 - 124,0.2222222222222222,0.8157391252854395,0.5935169030632172
04/03/2020 07:30,Brooklyn Nets,Memphis Grizzlies,79 - 118,0.0222222222222222,0.6020321122019818,0.5798098899797597
03/03/2020 09:00,Denver Nuggets,Golden State Warriors,100 - 116,0.2777777777777778,0.8330658295190131,0.5552880517412353
06/11/2019 07:30,Atlanta Hawks,Chicago Bulls,93 - 113,0.2333333333333333,0.7837483558920963,0.5504150225587631
07/02/2020 09:00,Phoenix Suns,Houston Rockets,127 - 91,0.8555555555555556,0.3133467552916546,0.542208800263901
08/03/2020 07:00,Houston Rockets,Orlando Magic,106 - 126,0.2333333333333333,0.757659022369942,0.5243256890366087
25/12/2019 10:30,Denver Nuggets,New Orleans Pelicans,100 - 112,0.3222222222222222,0.8346509504777161,0.5124287282554939
